BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
CHIPALUN,Fruits,2014,2,17,Mango,RATNAGIRI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,thrips,"232523792344238123472367233723792352 6 235023672354236815 2354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",17.2826,73.457
RAJAPUR,Fruits,2014,12,7,Mango,RATNAGIRI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"mango atac thrips","tata meda1 ml00:52:342 gmbavestin2 gm1 Lit of Water",17.2826,73.457
DEOGAD,Fruits,2014,1,1,Mango,SINDHUDURG,nan,JAYAD,HORTICULTURE,MAHARASHTRA,"ATTACK OF THRIPS","234723692354232523672337236823062330238123512366 2344236723512306234023812352233923662360236623362368 23522367233223752306233523302368 234723572366235223392368 232523522366 24082406 2350236723542367 24072406 2354236723352352 234623662339238123512366235023432375",16.1357,73.6522
DEOGAD,Fruits,2014,2,19,Mango,SINDHUDURG,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"thrips  plant hoppers ","regent 20 ml 15 ltr water",16.1357,73.6522
DEOGAD,Fruits,2014,2,23,Mango,SINDHUDURG,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"attack of thrips","2341238123522368234623812360- 235223672332237523062335 240924062350236723542367 23462381235223402368 2346235023812346 234723572366235223392368 232523522366",16.1357,73.6522
MALVAN,Fruits,2014,3,16,Mango,SINDHUDURG,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm15 Lit of Water",16.1357,73.6522
YEOLA,Fruits,2014,2,9,Mango,NASIK,nan,nan,HORTICULTURE,MAHARASHTRA,"attack of thrips on mango","23102306234823812351236623572352 2325236623552368 23482369235223582368 231023392367 2341238123522368234623812360 - 23112350236723372366232523542379234623812352236623112337 2411 23272381235223732350  2361237523252381233323662325237923442366233323792354 24072406 2350236723542368  24072406 2354236723352352 234623662339238123512366234023702344 23472357236623522366  23102306234823812351236623302366 2350237923612352 232723552370 234423512375 235023812361233923702344 24082406 234623682346236823192350 2344234623812341235423672344 230923602375233523672325 23092373236023672337",19.9613,73.8317
DINDORI,Fruits,2014,2,10,Mango,NASIK,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"thrips control","234023692350238123612368 234723572366235223392368 232523522366 235223672332237523062335 20 2350236723542367 234623062346 2346236623392381235123662340 2352237523372379235023672354 23272379235423812337 20 23272381235223662350 234623062346 2346236623392381235123662340",19.9613,73.8317
DEOLA,Fruits,2014,2,16,Mango,NASIK,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,thrips,"2360236923462352 232523792344238123472367233723792352 232523792344238123472367233723792352 6 2350236723542368152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",19.9613,73.8317
NASHIK,Fruits,2014,8,11,Mango,NASIK,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","spray microlla 30 ml  bavistin 30 gm  0 52 34  19 19 19 60 gm  15 litar water",19.9613,73.8317
